year,month,fleet,sex,Lbin,age
1999,10,5,f,121,2
1999,10,5,f,126,2
1999,10,5,f,134,2
1999,10,5,f,143,2
1999,10,5,f,151,2
1999,10,5,f,153,2
1999,10,5,f,133,3
1999,10,5,f,140,3
1999,10,5,f,141,3
1999,10,5,f,144,3
1999,10,5,f,152,3
1999,10,5,f,164,3
1999,10,5,f,186,3
1999,10,5,f,147,4
1999,10,5,f,159,4
1999,10,5,f,167,4
1999,10,5,f,181,4
1999,10,5,f,184,4
1999,10,5,f,187,4
1999,10,5,f,172,5
1999,10,5,f,178,5
1999,10,5,f,186,5
1999,10,5,f,217,6
1999,10,5,f,217,8
1999,10,5,f,231,8
1999,10,5,f,218,9
1999,10,5,f,220,9
1999,10,5,f,256,15
1999,12,5,f,146,2
1999,12,5,f,148,2
1999,12,5,f,150,2
1999,12,5,f,148,3
1999,12,5,f,156,3
1999,12,5,f,167,3
1999,12,5,f,177,3
1999,12,5,f,136,4
1999,12,5,f,167,4
1999,12,5,f,178,5
1999,12,5,f,184,5
1999,12,5,f,193,6
1999,12,5,f,217,6
1999,12,5,f,190,7
1999,12,5,f,199,7
1999,12,5,f,210,7
1999,12,5,f,217,7
1999,12,5,f,194,9
1999,12,5,f,229,9
1999,12,5,f,232,9
1999,12,5,f,224,10
1999,12,5,f,236,10
1999,12,5,f,241,10
1999,12,5,f,251,11
1999,12,5,f,292,15
1999,12,5,f,286,19
2000,2,5,f,111,1
2000,2,5,f,112,1
2000,2,5,f,114,1
2000,2,5,f,118,1
2000,2,5,f,118,2
2000,2,5,f,118,2
2000,2,5,f,126,2
2000,2,5,f,133,2
2000,2,5,f,136,2
2000,2,5,f,137,2
2000,2,5,f,157,2
2000,2,5,f,158,2
2000,2,5,f,114,3
2000,2,5,f,118,3
2000,2,5,f,130,3
2000,2,5,f,131,3
2000,2,5,f,131,3
2000,2,5,f,139,3
2000,2,5,f,141,3
2000,2,5,f,144,3
2000,2,5,f,149,3
2000,2,5,f,159,3
2000,2,5,f,161,3
2000,2,5,f,162,3
2000,2,5,f,149,4
2000,2,5,f,163,4
2000,2,5,f,168,4
2000,2,5,f,169,4
2000,2,5,f,180,4
2000,2,5,f,183,4
2000,2,5,f,157,5
2000,2,5,f,170,5
2000,2,5,f,179,5
2000,2,5,f,183,5
2000,2,5,f,189,5
2000,2,5,f,189,5
2000,2,5,f,219,5
2000,2,5,f,171,6
2000,2,5,f,179,6
2000,2,5,f,187,6
2000,2,5,f,211,6
2000,2,5,f,237,6
2000,2,5,f,201,7
2000,2,5,f,219,7
2000,2,5,f,228,7
2000,2,5,f,233,7
2000,2,5,f,218,8
2000,2,5,f,242,8
2000,2,5,f,237,9
2000,2,5,f,238,9
2000,2,5,f,258,9
2000,2,5,f,211,10
2000,2,5,f,216,10
2000,2,5,f,236,10
2000,2,5,f,243,10
2000,2,5,f,230,12
2000,2,5,f,253,13
2000,2,5,f,259,13
2000,2,5,f,240,14
2000,2,5,f,259,16
2000,2,5,f,244,19
2000,2,5,f,247,19
2000,5,5,f,161,3
2000,5,5,f,164,3
2000,5,5,f,233,11
2000,9,5,f,116,1
2000,9,5,f,130,2
2000,9,5,f,132,2
2000,9,5,f,137,2
2000,9,5,f,152,2
2000,9,5,f,112,3
2000,9,5,f,130,3
2000,9,5,f,134,3
2000,9,5,f,174,4
2000,9,5,f,196,4
2000,9,5,f,196,5
2000,9,5,f,224,6
2000,9,5,f,207,7
2000,9,5,f,211,7
2000,9,5,f,203,8
2000,9,5,f,187,10
2000,9,5,f,261,11
2000,9,5,f,300,12
2000,12,5,f,153,4
2000,12,5,f,237,11
