Area,Sex,Yr,Age,B
1,1,1952,0,82.5762
1,1,1953,0,82.5832
1,1,1954,0,82.582
1,1,1955,0,82.5735
1,1,1956,0,82.5603
1,1,1957,0,82.5493
1,1,1958,0,82.5427
1,1,1959,0,82.5301
1,1,1960,0,82.5158
1,1,1961,0,82.5067
1,1,1962,0,82.4916
1,1,1963,0,82.4771
1,1,1964,0,82.4582
1,1,1965,0,82.4512
1,1,1966,0,82.4274
1,1,1967,0,82.3984
1,1,1968,0,82.3754
1,1,1969,0,81.813
1,1,1970,0,81.6607
1,1,1971,0,81.49
1,1,1972,0,81.2416
1,1,1973,0,80.9662
1,1,1974,0,80.6739
1,1,1975,0,80.3479
1,1,1976,0,79.9582
1,1,1977,0,79.4663
1,1,1978,0,78.946
1,1,1979,0,78.5179
1,1,1980,0,78.0516
1,1,1981,0,77.9054
1,1,1982,0,78.15
1,1,1983,0,77.2755
1,1,1984,0,84.4739
1,1,1985,0,76.5055
1,1,1986,0,72.2178
1,1,1987,0,78.5843
1,1,1988,0,85.0839
1,1,1989,0,91.6178
1,1,1990,0,137.158
1,1,1991,0,78.2785
1,1,1992,0,100.503
1,1,1993,0,90.9829
1,1,1994,0,99.1795
1,1,1995,0,63.6658
1,1,1996,0,46.4254
1,1,1997,0,78.8395
1,1,1998,0,93.2248
1,1,1999,0,37.2919
1,1,2000,0,54.7665
1,1,2001,0,97.2597
1,1,2002,0,54.1106
1,1,2003,0,70.3967
1,1,2004,0,81.9125
1,1,2005,0,91.535
1,1,2006,0,119.437
1,1,2007,0,55.0831
1,1,2008,0,118.848
1,1,2009,0,112.536
1,1,2010,0,105.023
1,1,2011,0,75.3857
1,1,2012,0,87.5174
1,1,2013,0,72.6407
1,1,2014,0,27.889
1,1,2015,0,59.7644
1,1,2016,0,32.5898
1,1,2017,0,53.0504
1,1,2018,0,54.5446
1,1,2019,0,107.556
1,1,2020,0,66.1002
1,1,2021,0,38.2085
1,1,2022,0,77.3334
1,1,2023,0,77.3893
1,2,1952,0,88.7035
1,2,1953,0,88.711
1,2,1954,0,88.7097
1,2,1955,0,88.7006
1,2,1956,0,88.6864
1,2,1957,0,88.6745
1,2,1958,0,88.6675
1,2,1959,0,88.6539
1,2,1960,0,88.6386
1,2,1961,0,88.6288
1,2,1962,0,88.6126
1,2,1963,0,88.597
1,2,1964,0,88.5767
1,2,1965,0,88.5692
1,2,1966,0,88.5436
1,2,1967,0,88.5125
1,2,1968,0,88.4878
1,2,1969,0,87.8836
1,2,1970,0,87.7201
1,2,1971,0,87.5367
1,2,1972,0,87.2698
1,2,1973,0,86.974
1,2,1974,0,86.6601
1,2,1975,0,86.3098
1,2,1976,0,85.8912
1,2,1977,0,85.3628
1,2,1978,0,84.8039
1,2,1979,0,84.3441
1,2,1980,0,83.8431
1,2,1981,0,83.6861
1,2,1982,0,83.9489
1,2,1983,0,83.0095
1,2,1984,0,90.742
1,2,1985,0,82.1823
1,2,1986,0,77.5764
1,2,1987,0,84.4154
1,2,1988,0,91.3973
1,2,1989,0,98.416
1,2,1990,0,147.336
1,2,1991,0,84.0868
1,2,1992,0,107.96
1,2,1993,0,97.734
1,2,1994,0,106.539
1,2,1995,0,68.3899
1,2,1996,0,49.8702
1,2,1997,0,84.6895
1,2,1998,0,100.142
1,2,1999,0,40.059
1,2,2000,0,58.8302
1,2,2001,0,104.476
1,2,2002,0,58.1257
1,2,2003,0,75.6203
1,2,2004,0,87.9905
1,2,2005,0,98.3271
1,2,2006,0,128.299
1,2,2007,0,59.1703
1,2,2008,0,127.667
1,2,2009,0,120.887
1,2,2010,0,112.816
1,2,2011,0,80.9794
1,2,2012,0,94.0113
1,2,2013,0,78.0308
1,2,2014,0,29.9584
1,2,2015,0,64.199
1,2,2016,0,35.008
1,2,2017,0,56.9868
1,2,2018,0,58.5918
1,2,2019,0,115.536
1,2,2020,0,71.005
1,2,2021,0,41.0436
1,2,2022,0,83.0716
1,2,2023,0,83.1316
2,1,1952,0,247.726
2,1,1953,0,247.747
2,1,1954,0,247.743
2,1,1955,0,247.717
2,1,1956,0,247.678
2,1,1957,0,247.645
2,1,1958,0,247.625
2,1,1959,0,247.587
2,1,1960,0,247.544
2,1,1961,0,247.517
2,1,1962,0,247.472
2,1,1963,0,247.428
2,1,1964,0,247.372
2,1,1965,0,247.35
2,1,1966,0,247.279
2,1,1967,0,247.192
2,1,1968,0,247.123
2,1,1969,0,245.436
2,1,1970,0,244.979
2,1,1971,0,244.467
2,1,1972,0,243.722
2,1,1973,0,242.896
2,1,1974,0,242.019
2,1,1975,0,241.041
2,1,1976,0,239.872
2,1,1977,0,238.396
2,1,1978,0,236.835
2,1,1979,0,235.551
2,1,1980,0,234.152
2,1,1981,0,233.713
2,1,1982,0,234.447
2,1,1983,0,231.824
2,1,1984,0,253.419
2,1,1985,0,229.514
2,1,1986,0,216.651
2,1,1987,0,235.75
2,1,1988,0,255.249
2,1,1989,0,274.85
2,1,1990,0,411.47
2,1,1991,0,234.833
2,1,1992,0,301.504
2,1,1993,0,272.945
2,1,1994,0,297.535
2,1,1995,0,190.995
2,1,1996,0,139.274
2,1,1997,0,236.516
2,1,1998,0,279.671
2,1,1999,0,111.874
2,1,2000,0,164.297
2,1,2001,0,291.775
2,1,2002,0,162.33
2,1,2003,0,211.188
2,1,2004,0,245.734
2,1,2005,0,274.602
2,1,2006,0,358.306
2,1,2007,0,165.247
2,1,2008,0,356.541
2,1,2009,0,337.604
2,1,2010,0,315.066
2,1,2011,0,226.154
2,1,2012,0,262.549
2,1,2013,0,217.919
2,1,2014,0,83.6658
2,1,2015,0,179.291
2,1,2016,0,97.7681
2,1,2017,0,159.149
2,1,2018,0,163.632
2,1,2019,0,322.663
2,1,2020,0,198.298
2,1,2021,0,114.624
2,1,2022,0,231.997
2,1,2023,0,232.165
