Area,Sex,Yr,Age,F
1,1,1952,0,7.72500000000287e-05
2,1,1952,0,7.50000000104833e-07
1,2,1952,0,9.40000000000385e-05
2,2,1952,0,7.50000000104833e-07
1,1,1953,0,0.0001135000000001
2,1,1953,0,2.75000000005132e-06
1,2,1953,0,0.000150000000000095
2,2,1953,0,2.75000000005132e-06
1,1,1954,0,0.000524999999999998
2,1,1954,0,5.17500000000171e-05
1,2,1954,0,0.00073925000000008
2,2,1954,0,6.72500000000742e-05
1,1,1955,0,0.000137000000000054
2,1,1955,0,0.000176750000000059
1,2,1955,0,0.000201000000000118
2,2,1955,0,0.000213000000000019
1,1,1956,0,0.000158500000000061
2,1,1956,0,0.000135500000000066
1,2,1956,0,0.000218250000000086
2,2,1956,0,0.000177750000000088
1,1,1957,0,0.000423249999999986
2,1,1957,0,0.000172999999999979
1,2,1957,0,0.00056350000000005
2,2,1957,0,0.000212750000000095
1,1,1958,0,0.00050024999999998
2,1,1958,0,0.000200250000000013
1,2,1958,0,0.000689250000000086
2,2,1958,0,0.000246750000000073
1,1,1959,0,0.000268500000000005
2,1,1959,0,0.000190000000000023
1,2,1959,0,0.000382250000000028
2,2,1959,0,0.00023250000000008
1,1,1960,0,0.000270250000000027
2,1,1960,0,0.000155250000000051
1,2,1960,0,0.000390000000000112
2,2,1960,0,0.000191750000000046
1,1,1961,0,0.000594749999999977
2,1,1961,0,0.000314000000000036
1,2,1961,0,0.000758250000000071
2,2,1961,0,0.000392500000000018
1,1,1962,0,0.000582250000000006
2,1,1962,0,0.000233750000000033
1,2,1962,0,0.000822500000000059
2,2,1962,0,0.000287000000000037
1,1,1963,0,0.000708250000000077
2,1,1963,0,0.000484249999999964
1,2,1963,0,0.0010102500000001
2,2,1963,0,0.00059375000000006
1,1,1964,0,0.000356000000000023
2,1,1964,0,0.000154750000000092
1,2,1964,0,0.000503750000000025
2,2,1964,0,0.000186250000000054
1,1,1965,0,0.00106175000000008
2,1,1965,0,0.000238249999999995
1,2,1965,0,0.00154325000000011
2,2,1965,0,0.000287499999999996
1,1,1966,0,0.00101324999999997
2,1,1966,0,0.000294000000000016
1,2,1966,0,0.00145100000000009
2,2,1966,0,0.00035800000000008
1,1,1967,0,0.00063325000000003
2,1,1967,0,0.000442250000000088
1,2,1967,0,0.000908250000000055
2,2,1967,0,0.00054675000000004
1,1,1968,0,0.00111675
2,1,1968,0,0.000147250000000043
1,2,1968,0,0.001695
2,2,1968,0,0.000174000000000119
1,1,1969,0,0.000706749999999978
2,1,1969,0,0.00014225000000001
1,2,1969,0,0.00103025000000012
2,2,1969,0,0.00017250000000002
1,1,1970,0,0.00107425000000005
2,1,1970,0,0.000146250000000014
1,2,1970,0,0.00160400000000005
2,2,1970,0,0.000180250000000104
1,1,1971,0,0.00156100000000003
2,1,1971,0,0.000146500000000049
1,2,1971,0,0.00227200000000005
2,2,1971,0,0.000183000000000044
1,1,1972,0,0.00108625000000007
2,1,1972,0,0.000196250000000009
1,2,1972,0,0.00166875000000011
2,2,1972,0,0.000243500000000063
1,1,1973,0,0.00109800000000004
2,1,1973,0,0.000129000000000046
1,2,1973,0,0.00161825000000004
2,2,1973,0,0.000157250000000109
1,1,1974,0,0.00158950000000002
2,1,1974,0,0.000281250000000011
1,2,1974,0,0.00245050000000013
2,2,1974,0,0.000343500000000052
1,1,1975,0,0.000702749999999974
2,1,1975,0,0.000689249999999975
1,2,1975,0,0.00101700000000005
2,2,1975,0,0.000842250000000044
1,1,1976,0,0.00146825000000006
2,1,1976,0,0.000747999999999971
1,2,1976,0,0.00220350000000002
2,2,1976,0,0.000907500000000061
1,1,1977,0,0.000458249999999993
2,1,1977,0,0.000472750000000022
1,2,1977,0,0.000605750000000072
2,2,1977,0,0.000570249999999994
1,1,1978,0,0.000756500000000049
2,1,1978,0,0.000475500000000073
1,2,1978,0,0.00106050000000013
2,2,1978,0,0.000578500000000037
1,1,1979,0,0.00121499999999997
2,1,1979,0,0.000928999999999958
1,2,1979,0,0.00170025000000007
2,2,1979,0,0.00114075000000002
1,1,1980,0,0.00187775000000001
2,1,1980,0,0.000784000000000007
1,2,1980,0,0.00263000000000002
2,2,1980,0,0.000947500000000101
