Yr,Month,Fleet,Area,Length,Obs,Exp,Nsamp_adj
1998,11,1,1,30,9.97108e-05,0.000104134,0.001
1998,11,1,1,40,9.97108e-05,0.000227239,0.001
1998,11,1,1,50,9.97108e-05,0.00187125,0.001
1998,11,1,1,60,9.97108e-05,0.0112889,0.001
1998,11,1,1,70,9.97108e-05,0.0324208,0.001
1998,11,1,1,80,0.0804678,0.0461377,0.001
1998,11,1,1,90,0.0779581,0.0436376,0.001
1998,11,1,1,100,0.228663,0.0497543,0.001
1998,11,1,1,110,0.248749,0.0660635,0.001
1998,11,1,1,120,0.0503349,0.0719626,0.001
1998,11,1,1,130,0.0352602,0.0677877,0.001
1998,11,1,1,140,0.0252132,0.0668377,0.001
1998,11,1,1,150,0.0427975,0.0735533,0.001
1998,11,1,1,160,0.0453073,0.083952,0.001
1998,11,1,1,170,0.0704207,0.0917838,0.001
1998,11,1,1,180,0.0427975,0.0910256,0.001
1998,11,1,1,190,9.97108e-05,0.0774615,0.001
1998,11,1,1,200,0.0302408,0.0540882,0.001
1998,11,1,1,210,0.0201937,0.0314532,0.001
1998,11,1,1,220,9.97108e-05,0.0170365,0.001
1998,11,1,1,230,9.97108e-05,0.00972196,0.001
1998,11,1,1,240,9.97108e-05,0.00573149,0.001
1998,11,1,1,250,9.97108e-05,0.00317158,0.001
1998,11,1,1,260,9.97108e-05,0.00156198,0.001
1998,11,1,1,270,9.97108e-05,0.000690089,0.001
1998,11,1,1,280,9.97108e-05,0.000300318,0.001
1998,11,1,1,290,9.97108e-05,0.000157433,0.001
1998,11,1,1,300,9.97108e-05,0.000113933,0.001
1998,11,1,1,310,9.97108e-05,0.00010366,0.001
1999,11,1,1,30,9.97108e-05,0.00010157,0.001
1999,11,1,1,40,9.97108e-05,0.000153327,0.001
1999,11,1,1,50,9.97108e-05,0.000845662,0.001
1999,11,1,1,60,0.00221351,0.00483745,0.001
1999,11,1,1,70,0.0405351,0.0141259,0.001
1999,11,1,1,80,0.00221351,0.0225834,0.001
1999,11,1,1,90,0.0468765,0.0315208,0.001
1999,11,1,1,100,0.0106686,0.0545621,0.001
1999,11,1,1,110,0.191434,0.0833619,0.001
1999,11,1,1,120,0.112677,0.0961503,0.001
1999,11,1,1,130,0.225528,0.0933158,0.001
1999,11,1,1,140,0.095767,0.0857429,0.001
1999,11,1,1,150,0.0489902,0.0788005,0.001
1999,11,1,1,160,0.0447627,0.0763087,0.001
1999,11,1,1,170,0.00644103,0.0794533,0.001
1999,11,1,1,180,0.0830844,0.081602,0.001
1999,11,1,1,190,9.97108e-05,0.0729589,0.001
1999,11,1,1,200,0.00644103,0.0527583,0.001
1999,11,1,1,210,9.97108e-05,0.0313101,0.001
