Area,Yr,Rec,TB,SB
1,1952,426.72,74829.1,37688.6
1,1953,426.756,75023,37730
1,1954,426.749,74973.3,37710.5
1,1955,426.705,74730.4,37613.4
1,1956,426.637,74622.9,37553.9
1,1957,426.58,74568.4,37512.6
1,1958,426.546,74462.7,37454.7
1,1959,426.481,74234,37347
1,1960,426.407,74112.6,37273
1,1961,426.36,74024.3,37210.9
1,1962,426.282,73866.9,37128.9
1,1963,426.207,73471.7,36936.2
1,1964,426.109,73069.7,36733.7
1,1965,426.073,72924.5,36622.2
1,1966,425.95,72183.4,36278.8
1,1967,425.801,71568,35966.6
1,1968,425.682,71331.7,35787.2
1,1969,422.775,70447.1,35353.1
1,1970,421.988,70135.2,35133.3
1,1971,421.106,69803.4,34923
1,1972,419.822,68964.2,34518.3
1,1973,418.399,68185.7,34102
1,1974,416.889,67593.9,33770.4
1,1975,415.204,66804.2,33354.2
1,1976,413.191,66910.7,33306.6
1,1977,410.649,66407.5,33056
1,1978,407.96,66958.1,33242
1,1979,405.748,67090.4,33308.5
1,1980,403.338,66864,33260.1
1,1981,402.582,66355.3,33093.9
1,1982,403.847,65652.4,32816.2
1,1983,399.328,64893,32454.7
1,1984,436.526,64694.9,32278.6
1,1985,395.349,64505.2,32069.5
1,1986,373.191,64046.7,31771.4
1,1987,406.091,63756.3,31601.8
1,1988,439.678,63437,31466.3
1,1989,473.443,62902.8,31194.1
1,1990,708.777,62914.9,30870.2
1,1991,404.51,64512.8,30686.8
1,1992,519.356,66257.9,30711.4
1,1993,470.162,67632.9,30944
1,1994,512.518,69090.3,31779.1
1,1995,328.998,70107.8,32808.3
1,1996,239.907,70635.1,33690.7
1,1997,407.41,69075.4,34007
1,1998,481.747,65792.4,33500.3
1,1999,192.709,62904,32535.7
1,2000,283.01,59498.4,30975.7
1,2001,502.597,56050.2,29282.8
1,2002,279.621,53578.7,27926.3
1,2003,363.781,51219.7,26570.2
1,2004,423.289,49588.7,25198.3
1,2005,473.015,48674,24127.9
1,2006,617.2,48716.4,23511.4
1,2007,284.646,50424.7,23196.9
1,2008,614.159,51729.9,23067.7
1,2009,581.54,53288.7,23299
1,2010,542.716,55388,23953
1,2011,389.562,57526.6,24680.8
1,2012,452.253,58753.2,25234.5
1,2013,375.377,59293.6,26032.2
1,2014,144.118,59159.4,26946.4
1,2015,308.837,57496.4,27459.8
1,2016,168.41,55088.3,27476.4
1,2017,274.142,51893.5,27025.9
1,2018,281.863,48550.1,25960.3
1,2019,555.802,45717.3,24423.3
1,2020,341.578,44379.9,22790.7
1,2021,197.446,44501.2,21553.8
1,2022,399.627,44323.1,20722
1,2023,399.915,44146.5,20502.7
2,1952,1280.14,110455,47046.8
2,1953,1280.25,110879,47120.1
2,1954,1280.23,110876,47119.2
2,1955,1280.1,110780,47077
2,1956,1279.9,110428,46920.7
2,1957,1279.72,110163,46781.8
2,1958,1279.62,110100,46733
2,1959,1279.43,109922,46636.3
2,1960,1279.21,109606,46480.4
2,1961,1279.06,109493,46396.5
2,1962,1278.83,109194,46238.1
2,1963,1278.61,109187,46200.3
2,1964,1278.31,108967,46104
2,1965,1278.2,109022,46105.4
2,1966,1277.84,108985,46077
2,1967,1277.39,108706,45940.6
2,1968,1277.03,108380,45766.6
2,1969,1268.31,108234,45649.4
2,1970,1265.95,107843,45398.9
2,1971,1263.3,107711,45322.6
2,1972,1259.45,106957,44864.4
2,1973,1255.18,106307,44501.4
2,1974,1250.65,106263,44526.7
2,1975,1245.6,105952,44431.5
2,1976,1239.56,105602,44338.5
2,1977,1231.93,104887,44063
2,1978,1223.87,104651,44002.8
2,1979,1217.23,104567,44032.8
2,1980,1210,103790,43759.9
2,1981,1207.73,102978,43435.4
2,1982,1211.52,101741,42844.5
2,1983,1197.97,100898,42406.4
2,1984,1309.56,100626,42210.3
2,1985,1186.03,100631,41991.9
2,1986,1119.56,100454,41831.9
2,1987,1218.26,99600.6,41525
2,1988,1319.02,98928.4,41340
2,1989,1420.31,98253.6,40981.5
2,1990,2126.31,99421.5,40764.5
2,1991,1213.52,103326,40524.5
2,1992,1558.05,106768,40680.1
2,1993,1410.47,109481,41314.8
2,1994,1537.54,111750,42927.7
2,1995,986.982,112882,44591.1
2,1996,719.712,112289,45714.8
2,1997,1222.21,108869,46322.1
2,1998,1445.22,105512,46573.9
2,1999,578.119,102384,45744.3
2,2000,849.02,97464.8,43759.5
2,2001,1507.77,91653.8,41285.3
2,2002,838.853,87106.8,38894.5
2,2003,1091.33,82616.1,36491.5
2,2004,1269.85,78473.6,33454.9
2,2005,1419.03,75022.4,30829.8
2,2006,1851.58,74980,29355.5
2,2007,853.929,74999.3,27226.7
2,2008,1842.45,73521,25415
2,2009,1744.6,74917.6,25121.5
2,2010,1628.13,78544.6,25902.5
2,2011,1168.67,83114.3,27085.8
2,2012,1356.74,84039,27757.6
2,2013,1126.12,83312.6,28717.1
2,2014,432.35,81112.2,29588.1
2,2015,926.501,75272.5,29582.3
2,2016,505.224,68505.8,28557.3
2,2017,822.417,62780.6,27605.9
2,2018,845.58,58154.8,26092.7
2,2019,1667.39,54250,23720.4
2,2020,1024.72,55363.6,21929.4
2,2021,592.33,57387.4,20506.4
2,2022,1198.87,57747.3,19923.7
2,2023,1199.73,58382.6,20384.9
