Sex,Age,M,Len,Wt,Mat
1,0,0.969,30,0.4,0.001
1,1,0.506,80.9,6.9,0.006
1,2,0.39,114.4,20.2,0.027
1,3,0.329,141.9,39.4,0.109
1,4,0.292,164.4,62,0.354
1,5,0.267,182.8,86.1,0.711
1,6,0.25,197.9,109.9,0.917
1,7,0.237,210.2,132.5,0.98
1,8,0.228,220.3,153.1,0.996
1,9,0.221,228.6,171.5,0.999
1,10,0.215,235.4,187.6,1
1,11,0.211,240.9,201.6,1
1,12,0.207,245.4,213.5,1
1,13,0.205,249.1,223.6,1
1,14,0.202,252.2,232.1,1
1,15,0.201,254.7,239.2,1
1,16,0.199,256.7,245.2,1
1,17,0.198,258.4,250.2,1
1,18,0.197,259.7,254.3,1
1,19,0.196,261.9,261.1,1
2,0,0.893,30,0.4,NA
2,1,0.471,86.1,8.3,NA
2,2,0.372,121.6,23.2,NA
2,3,0.324,146.5,40.3,NA
2,4,0.297,163.9,56.3,NA
2,5,0.281,176.2,69.7,NA
2,6,0.271,184.8,80.3,NA
2,7,0.264,190.8,88.3,NA
2,8,0.259,195.1,94.3,NA
2,9,0.256,198,98.7,NA
2,10,0.254,200.1,101.8,NA
2,11,0.253,201.6,104,NA
2,12,0.252,202.6,105.6,NA
2,13,0.251,203.3,106.7,NA
2,14,0.25,203.8,107.5,NA
2,15,0.25,204.2,108.1,NA
2,16,0.25,204.4,108.5,NA
2,17,0.25,204.6,108.8,NA
2,18,0.249,204.7,108.9,NA
2,19,0.249,204.8,109.2,NA
