Year,Rec,Catch,TB,SB,F,SB_SBmsy,SB_SBF0,F_Fmsy
1952,1707,20,185284,84735,0,4.46,1,0
1953,1707,52,185902,84850,0,4.46,1,0
1954,1707,342,185850,84830,0,4.46,1,0.01
1955,1707,499,185511,84690,0,4.45,1,0.02
1956,1707,400,185051,84475,0,4.44,1,0.01
1957,1706,282,184731,84294,0,4.43,0.99,0.01
1958,1706,548,184563,84188,0,4.43,0.99,0.02
1959,1706,627,184156,83983,0,4.42,0.99,0.02
1960,1706,441,183718,83753,0,4.4,0.99,0.01
1961,1705,734,183518,83607,0,4.4,0.99,0.03
1962,1705,730,183061,83367,0,4.38,0.98,0.02
1963,1705,993,182658,83136,0.01,4.37,0.98,0.03
1964,1704,528,182037,82838,0,4.36,0.98,0.02
1965,1704,1246,181947,82728,0.01,4.35,0.97,0.04
1966,1704,1447,181168,82356,0.01,4.33,0.97,0.05
1967,1703,1223,180274,81907,0.01,4.31,0.97,0.04
1968,1703,1768,179712,81554,0.01,4.29,0.96,0.06
1969,1691,1551,178681,81003,0.01,4.26,0.95,0.05
1970,1688,1341,177978,80532,0.01,4.23,0.95,0.04
1971,1684,2574,177514,80246,0.02,4.22,0.95,0.08
1972,1679,2526,175921,79383,0.02,4.17,0.94,0.08
1973,1674,1769,174493,78603,0.01,4.13,0.93,0.06
1974,1668,2269,173857,78297,0.02,4.12,0.92,0.08
1975,1661,1451,172756,77786,0.01,4.09,0.92,0.05
1976,1653,2402,172512,77645,0.02,4.08,0.92,0.08
1977,1643,861,171294,77119,0.01,4.06,0.91,0.03
1978,1632,1005,171610,77245,0.01,4.06,0.92,0.04
1979,1623,1953,171657,77341,0.01,4.07,0.92,0.07
1980,1613,2223,170654,77020,0.02,4.05,0.92,0.08
1981,1610,2907,169333,76529,0.02,4.02,0.91,0.1
1982,1615,2702,167393,75661,0.02,3.98,0.9,0.1
1983,1597,1727,165791,74861,0.01,3.94,0.9,0.06
1984,1746,1976,165320,74489,0.01,3.92,0.9,0.07
1985,1581,2329,165136,74061,0.02,3.89,0.9,0.09
1986,1493,2422,164501,73603,0.02,3.87,0.89,0.09
1987,1624,2393,163357,73127,0.02,3.85,0.89,0.09
1988,1759,3402,162365,72806,0.03,3.83,0.89,0.13
1989,1894,2653,161156,72176,0.02,3.8,0.88,0.1
1990,2835,2343,162336,71635,0.02,3.77,0.88,0.09
1991,1618,2102,167839,71211,0.01,3.74,0.87,0.08
1992,2077,2773,173026,71391,0.02,3.75,0.87,0.09
1993,1881,2140,177114,72259,0.01,3.8,0.87,0.07
1994,2050,3023,180840,74707,0.02,3.93,0.88,0.1
1995,1316,2172,182990,77399,0.01,4.07,0.88,0.07
1996,960,3252,182924,79406,0.02,4.18,0.88,0.11
1997,1630,4600,177945,80329,0.03,4.22,0.88,0.16
1998,1927,5593,171304,80074,0.04,4.21,0.86,0.2
1999,771,6018,165288,78280,0.04,4.12,0.85,0.23
2000,1132,6416,156963,74735,0.05,3.93,0.83,0.26
2001,2010,7184,147704,70568,0.06,3.71,0.81,0.31
2002,1118,7561,140686,66821,0.07,3.51,0.78,0.34
2003,1455,7565,133836,63062,0.07,3.32,0.75,0.35
2004,1693,8110,128062,58653,0.08,3.08,0.72,0.41
2005,1892,6515,123696,54958,0.07,2.89,0.7,0.34
2006,2469,8346,123696,52867,0.08,2.78,0.68,0.43
2007,1139,9042,125424,50424,0.09,2.65,0.65,0.46
2008,2457,7912,125251,48483,0.08,2.55,0.63,0.39
2009,2326,6925,128206,48420,0.07,2.55,0.62,0.34
2010,2171,6205,133933,49856,0.05,2.62,0.62,0.28
2011,1558,8267,140641,51767,0.07,2.72,0.63,0.35
2012,1809,8746,142792,52992,0.07,2.79,0.63,0.37
2013,1501,8490,142606,54749,0.07,2.88,0.62,0.36
2014,576,8986,140272,56534,0.08,2.97,0.62,0.39
2015,1235,9034,132769,57042,0.08,3,0.61,0.42
2016,674,7095,123594,56034,0.07,2.95,0.6,0.36
2017,1097,6559,114674,54632,0.07,2.87,0.59,0.36
2018,1127,7056,106705,52053,0.09,2.74,0.58,0.43
2019,2223,5681,99967,48144,0.07,2.53,0.56,0.36
2020,1366,4766,99744,44720,0.06,2.35,0.55,0.3
2021,790,4918,101889,42060,0.06,2.21,0.55,0.29
2022,1598,5157,102070,40646,0.06,2.14,0.55,0.32
2023,1600,5930,102529,40888,0.07,2.15,0.56,0.36
